name,title,organization,bio,talk_title,photo_url,twitter,linkedin,year,event,source_url
"Patrick Witt","Deputy Director, White House Council on Digital Assets; Acting Director, Office of Strategic Capital","White House / Department of Defense","Holds dual roles as Deputy Director of the White House Council on Digital Assets and Acting Director of the Office of Strategic Capital at the Department of Defense. His work bridges monetary policy and national security, with a focus on how the Bitcoin ecosystem can enhance U.S. technological infrastructure, industrial capacity, and strategic resilience.","","https://static.wixstatic.com/media/5b61ba_cd349955cb7849d09198d8ee67331ebe~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Berta Valle","Journalist and Human Rights Activist","Independent","A Nicaraguan journalist and human rights activist who successfully campaigned for the release of over 200 political prisoners—including her husband, former presidential candidate Felix Maradiaga—from the Ortega regime in 2023. She has become a leading voice against authoritarianism in Nicaragua, bringing global attention to human rights violations through her journalism and advocacy. Now working from exile, Valle continues to champion the restoration of democracy and the release of remaining political prisoners, while also highlighting the critical role of financial freedom in resisting authoritarian control.","","https://static.wixstatic.com/media/5b61ba_65c26010d6c04f679f1afd897c690368~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Anaise Kanimba","Global Development Expert and Human Rights Activist","Ridgely Walsh","A global development expert and human rights activist, and the daughter of Paul Rusesabagina—the real-life hero of Hotel Rwanda. She successfully led an international campaign that secured her father's release from wrongful detention in Rwanda between 2020 and 2023. A prominent voice on transnational repression and human rights, her work has been featured in The Washington Post, CNN, and other major outlets. She currently works at Ridgely Walsh, advising transformational companies and causes while continuing her advocacy against authoritarian regimes.","","https://static.wixstatic.com/media/5b61ba_1697f5154f154924b5071d51b0ef8c31~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Leopoldo Lopez","Venezuelan Opposition Leader","Independent","A Venezuelan opposition leader and pro-democracy activist who has been a prominent voice for freedom and human rights in Latin America. A former political prisoner, he continues to advocate for democratic reforms and economic liberty in Venezuela. Lopez is widely recognized for his efforts to promote democratic values and financial inclusion in the face of authoritarian repression.","","https://static.wixstatic.com/media/5b61ba_9c42f77d42c04cda96cffb678b6424b5~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Anna Chekhovich","Nonprofit Adoption Lead / Financial Director","Human Rights Foundation / Anti-Corruption Foundation","Nonprofit Adoption Lead at the Human Rights Foundation (HRF) and the Financial Director of the Anti-Corruption Foundation (ACF). She specializes in using technology to advance human rights and promote financial transparency in the fight against corruption. Her work focuses on equipping nonprofits with innovative financial tools to strengthen accountability and drive systemic change.","","https://static.wixstatic.com/media/5b61ba_dfe6a724b47f459aa6f780ebfcaea8f6~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Roya Mahboob","Tech Entrepreneur and CEO","Digital Citizen Fund","An Afghan tech entrepreneur and the CEO of the Digital Citizen Fund, where she focuses on advancing digital literacy for women and girls. A pioneer in bringing technology education to young women in Afghanistan, she was named one of TIME Magazine's 100 Most Influential People in 2013 for her groundbreaking work. Mahboob continues to champion women's empowerment through access to digital tools and education.","","https://static.wixstatic.com/media/5b61ba_8206adc0f2324b95ac7409670c108a6a~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Fadi Elsalameen","Adjunct Senior Fellow","American Security Project","Serves as an Adjunct Senior Fellow at the American Security Project and has established himself as a prominent advocate for human rights, democracy, and anti-corruption initiatives. His experience includes prestigious fellowships at Johns Hopkins SAIS Foreign Policy Institute and New America Foundation's American Strategy Program. He dedicates his work to exploring and promoting Bitcoin as a powerful tool for advancing freedom and combating corruption globally.","","https://static.wixstatic.com/media/dea30a_fd966da9a98945c1a14d8ebcc08b8173~mv2.jpeg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Conner Brown","Counsel to Senator Cynthia Lummis","U.S. Senate","Counsel to Senator Cynthia Lummis, advising on digital asset policy and financial regulation. He plays a key role in shaping legislative efforts related to Bitcoin and emerging financial technologies in the U.S. Senate.","","https://static.wixstatic.com/media/5b61ba_da23ca4fa3f544d696d5b5b2ccd0e3d8~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Matthew Pines","Executive Director","Bitcoin Policy Institute","Executive Director of the Bitcoin Policy Institute, where he oversees strategic initiatives at the intersection of Bitcoin, national security, and geopolitics. He previously served as Director of Intelligence for PinnacleOne at SentinelOne, advising multinational firms on cyber risk and resilience. With over thirteen years of experience in security strategy, Pines holds degrees from the London School of Economics (MSc in Philosophy and Public Policy) and Johns Hopkins University, bringing deep expertise in national preparedness and strategic security assessment.","","https://static.wixstatic.com/media/5b61ba_6198c30ada89446bb7a8b97b98669a7d~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Matt Corallo","Bitcoin Developer","Blockstream","A distinguished Bitcoin developer who has made significant contributions to Bitcoin Core development. As a co-founder of Blockstream, he has played an instrumental role in improving Bitcoin's protocol and infrastructure. He continues to be an active advocate for decentralization and the advancement of open-source technology.","","https://static.wixstatic.com/media/5b61ba_6e646ce336c34525afcf05088b69d388~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Zack Shapiro","Head of Policy","Bitcoin Policy Institute","Serves as Head of Policy at the Bitcoin Policy Institute and brings his expertise as an accomplished attorney specializing in Bitcoin ventures and regulatory navigation. As a Yale Law School graduate, he previously served in federal court clerkships for the Southern District of New York and Second Circuit, following work at Davis Polk & Wardwell.","","https://static.wixstatic.com/media/5b61ba_ae663b14d3b14d8aa3ffabf76be88b80~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Faryar Shirzad","Chief Policy Officer","Coinbase","Chief Policy Officer at Coinbase, where he leads the company's global engagement with policymakers and has been instrumental in shaping crypto regulatory discourse in the U.S. Prior to joining Coinbase, he served as Global Co-Head of Government Affairs at Goldman Sachs and held senior roles in the U.S. government, including Deputy National Security Advisor for International Economic Affairs under President George W. Bush, as well as Assistant Secretary for Import Administration at the U.S. Department of Commerce. He holds degrees from the University of Maryland (BS), Harvard Kennedy School (MPP), and the University of Virginia School of Law (JD).","","https://static.wixstatic.com/media/5b61ba_214e0746bbe34b1bbd38f60fd8795331~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Fred Thiel","Chairman and CEO","Marathon Digital Holdings (MARA)","Chairman and CEO of Marathon Digital Holdings (MARA), where he led the company's growth from a $30 million market cap to over $5 billion, establishing it as the world's largest Bitcoin mining operation with a presence on four continents. With more than 35 years of experience in the technology sector, his expertise spans digital assets, AI, and semiconductors.","","https://static.wixstatic.com/media/5b61ba_4ea9568eb2fd43ed913a660e4445b749~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Joe Kelly","Co-founder and CEO","Unchained","Co-founder and CEO of Unchained, where he has led the company since 2016 in building a platform that secures over $10 billion in bitcoin through self-custody solutions, trading, commercial lending, and IRA services. Under his leadership, Unchained has grown into a venture-backed firm with over 100 employees and more than $100 million in funding, pioneering a new category of bitcoin-native financial services. He also serves on the board of the Texas Bitcoin Foundation, a nonprofit dedicated to advancing Bitcoin research and education.","","https://static.wixstatic.com/media/5b61ba_f3a3fbd0c73a4cde88c474655835f872~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Brent Buchanan","Founder and CEO","Cygnal","Founder and CEO of Cygnal, a national public opinion and analytics firm recognized for its cutting-edge research in politics, policy, and corporate strategy. With a background in political consulting and data-driven campaigning, he has advised elected officials, advocacy groups, and Fortune 500 companies across the United States.","","https://static.wixstatic.com/media/5b61ba_4343f545d3604416b4f8969b3855ea18~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Rob Hamilton","CEO and Co-Founder","AnchorWatch","Co-Founder and CEO of AnchorWatch, a company pioneering insured custody solutions for Bitcoin held in multi-signature wallets. Under his leadership, AnchorWatch is building the infrastructure to make Bitcoin custody more secure, transparent, and compliant for institutions. Prior to founding AnchorWatch, Rob was a Senior Managing Consultant and Data Scientist at IBM, where he led machine learning initiatives for Watson Advertising.","","https://static.wixstatic.com/media/5b61ba_5fbe58e13faf45dab2a9ab00e38beaf7~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Alexander Leishman","Founder, CEO, and CTO","River","Founder, CEO, and CTO of River, where he leads investor relations, corporate strategy, and engineering, drawing on a background in software engineering, information security, and Bitcoin. He previously worked at Polychain Capital, Airbnb, Deloitte, and Maicoin, and holds an Aerospace Engineering degree from the University of Maryland and a Master's in Computer Science from Stanford, where he helped teach the university's first Bitcoin course.","","https://static.wixstatic.com/media/5b61ba_f005db56b18a4b4f859350d39564478b~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Alex Thorn","Head of Firmwide Research","Galaxy Digital","Head of Firmwide Research at Galaxy Digital, where he leads a team focused on analyzing developments across the cryptocurrency ecosystem. Prior to joining Galaxy, he spent 12 years at Fidelity Investments, serving as Director of Blockchain Research at the Fidelity Center for Applied Technology and co-managing Avon Ventures, an early-stage crypto venture fund. Thorn brings a unique blend of traditional finance experience and deep expertise in blockchain research and venture capital.","","https://static.wixstatic.com/media/dea30a_f9314cb70ff7405297edc80dc263a150~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Pippa Malmgren","Former Presidential Adviser and Economist","Independent","A former Presidential adviser and prominent economist known for her insights on global economic trends and geopolitical risk. She is a regular commentator on the impact of emerging technologies on international economics and policy. The author of several books, Dr. Malmgren explores the intersection of technology, markets, and strategic decision-making.","","https://static.wixstatic.com/media/5b61ba_7bf74cd00c0c41749f14fd17404b0fb0~mv2.webp","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Brendan Pedersen","Financial Services Reporter","Punchbowl News","Financial services reporter at Punchbowl News, where he co-authors The Vault, focusing on the intersection of Congress, financial regulation, and the economy. Since 2018, he has covered the politics and influence of the financial services sector, previously reporting for American Banker, Kiplinger's Personal Finance, NBC News Chicago, and BusinessDen in Colorado. A Chicagoland native, Pedersen holds degrees in journalism and political science from DePaul University.","","https://static.wixstatic.com/media/5b61ba_d9afb3331a8e403fafdbd8183aa779f4~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Eleanor Terrett","Journalist","Crypto in America (podcast/newsletter)","A journalist and co-host of the Crypto In America podcast and newsletter, focusing on U.S. cryptocurrency policy and regulation. Formerly a reporter and producer at Fox Business, she worked alongside senior correspondent Charles Gasparino, covering major stories like the SEC v. Ripple lawsuit. Terrett is recognized as a leading voice in crypto journalism, with her reporting acknowledged by industry figures such as David Sacks and Michael Saylor.","","https://static.wixstatic.com/media/5b61ba_b832a10745074b8aa6e7ff595edb64e3~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Miranda Nazzaro","Technology Reporter","The Hill","A technology reporter at The Hill, where she covers the intersection of tech and politics, focusing on topics such as artificial intelligence, online misinformation, antitrust law, and data privacy. She co-authors The Hill's Technology newsletter and previously served as a breaking news reporter for the outlet. Before joining The Hill, Nazzaro worked on the digital production team at WJAR-TV in Providence, Rhode Island, and is a graduate of The George Washington University, where she studied journalism and mass communications.","","https://static.wixstatic.com/media/5b61ba_4c9dac86451b46ceaf51472108a14055~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Pierre Rochard","CEO","The Bitcoin Bond Company","CEO of The Bitcoin Bond Company and Co-Founder of the Satoshi Nakamoto Institute, with over a decade of leadership in Bitcoin development and advocacy. He previously served as VP of Research at Riot Platforms and as a Product Manager at Kraken, where he launched Lightning Network integration and shaped Bitcoin product strategy. Rochard is also the founder of Lightning Power Users, a Steward for Catholic Bitcoiners, and an active contributor to Bitcoin infrastructure, protocol research, and education.","","https://static.wixstatic.com/media/5b61ba_6d7ecb4318304f01a53a977ccd9ca4cd~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Brian Morgenstern","Head of Public Policy","Riot Platforms","Head of Public Policy at Riot Platforms (NASDAQ: RIOT) and a board member of the Texas Blockchain Council. He brings extensive government experience, having served as White House Deputy Press Secretary and Deputy Assistant Secretary of the Treasury during the Trump administration, where he played a key role in the pandemic response and CARES Act rollout. A graduate of Georgetown and Columbia Law, Morgenstern combines legal acumen with deep policy expertise to advance innovation in digital infrastructure and blockchain technology.","","https://static.wixstatic.com/media/5b61ba_210ed7b43fd540a9b8d13f823ddf38a5~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Jayson Browder","Senior Vice President of Government Affairs and Social Responsibility","MARA (Marathon Digital Holdings)","Serves as Senior Vice President of Government Affairs and Social Responsibility at MARA (NASDAQ:MARA), where he has led government relations strategy since 2023. He holds a position as a founding Board Member of the Bitcoin Voter Project, an initiative supported by major players in the digital asset space. His work focuses on advancing sustainable digital asset compute and fostering blockchain technology adoption through strategic policy and stakeholder engagement.","","https://static.wixstatic.com/media/5b61ba_160ddb2324994c1ba83a771417264c02~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Seth Hertlein","VP and Global Head of Policy","Ledger","Serves as VP and Global Head of Policy at Ledger, where he leads the company's policy initiatives to promote economic freedom worldwide, with particular focus on European policy development. He serves on the Board of Directors of the Blockchain Association and previously served as Head of Policy & Government Relations at the Stellar Development Foundation, where he significantly elevated SDF's presence in Washington. Drawing from his experience as one of the first in-house blockchain industry lobbyists, he combines his legal background and MBA in finance to shape digital asset policy.","","https://static.wixstatic.com/media/d9a02d_724d1f521c684348bff6580f1efdd547~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Margeaux Plaisted","Vice President of Policy and Government Relations","CleanSpark","Vice President of Policy and Government Relations at CleanSpark, where she leads the company's policy strategy and legislative outreach. With over 20 years of experience in government relations, she specializes in bridging the gap between lawmakers, regulators, and industry leaders on issues related to digital assets, energy policy, and financial regulation. Plaisted is a recognized leader in advancing Bitcoin mining policy and driving innovative, bipartisan legislative solutions.","","https://static.wixstatic.com/media/5b61ba_02a68cfd78384fc992cc955306fbc7bb~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Michael Enright","Senior Vice President","TeraWulf","Senior Vice President at TeraWulf.","","https://static.wixstatic.com/media/5b61ba_99696611d4154c619bd4a99f92840ddf~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Tim Hite","Policy Director","Exodus","Policy Director at Exodus, where he leads the company's crypto policy and regulatory strategy. He previously served as Senior Counsel on the House Financial Services Committee's digital assets panel, playing a key role in shaping federal cryptocurrency legislation from 2023 to 2025. Hite brings deep legislative experience and a strategic perspective to advancing sound digital asset policy.","","https://static.wixstatic.com/media/5b61ba_b2419f0c32ad4d6a97dff6d413ce35af~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Theodora Dcruz","Director of Government Relations","Bitdeer","","","https://static.wixstatic.com/media/5b61ba_c8d9ed66d3b54d4dafdb589b58f6fc1a~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Troy Cross","Professor of Philosophy and Humanities / Senior Fellow","Reed College / Bitcoin Policy Institute","A Professor of Philosophy and Humanities at Reed College and a Senior Fellow at the Bitcoin Policy Institute (BPI). His decade-long involvement in Bitcoin has focused particularly on examining the environmental impact of Bitcoin mining. Drawing from his previous academic positions at Yale and Merton College, Oxford, he brings valuable expertise in metaphysics and epistemology to discussions of Bitcoin's role in society.","","https://static.wixstatic.com/media/dea30a_12b9381134be4662bff88e9219820e5e~mv2.jpeg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Margot Paez","Fellow","Bitcoin Policy Institute","A Fellow at the Bitcoin Policy Institute and is completing her PhD in Civil Engineering at Georgia Institute of Technology, where she specializes in climate change statistical modeling with a focus on water resources. She holds an MS in Physics from Georgia Tech and brings diverse research experience in robotics, astrobiology instrumentation, and physics of living systems. She combines expertise in data management systems and advanced statistical modeling to address environmental challenges while contributing to Bitcoin policy discussions.","","https://static.wixstatic.com/media/dea30a_1b8b4cb4da894538a58b24944484deac~mv2.jpeg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Sarah Kreps","John L. Wetherill Professor and Director, Tech Policy Institute","Cornell University / Brookings Institution","Serves as the John L. Wetherill Professor and Director of the Tech Policy Institute at Cornell University, while also holding a position as a non-resident senior fellow at Brookings Institution's AI and Emerging Technology Initiative. As a former U.S. Air Force officer, she has authored five books and numerous publications on emerging technologies, digital currencies, and national security. She holds degrees from Harvard, Oxford, and Georgetown, and brings extensive expertise in the political economy of security and technology policy through her work at Cornell's Law School and Johnson School of Business's Fintech Initiative.","","https://static.wixstatic.com/media/5b61ba_f64d796b774442a79c92293e547ab8af~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Peter Van Valkenburgh","Executive Director","Coin Center","Executive Director at Coin Center, where he focuses on cryptocurrency policy and blockchain technology regulation. He has established himself as a leading voice on cryptocurrency law and policy, particularly regarding privacy and innovation. He regularly provides testimony before Congress on digital asset policy, helping shape the regulatory landscape for emerging technologies.","","https://static.wixstatic.com/media/5b61ba_efc4e3997feb44ceb2893ae355b96053~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Michael Mosier","Co-founder / Partner","Arktouros","A co-founder of Arktouros and a longtime leader at the intersection of digital assets, financial regulation, and national security. He previously served as Acting Director of FinCEN, where he helped shape U.S. policy around Bitcoin and digital privacy, and held senior roles at OFAC, the DOJ, and the National Security Council.","","https://static.wixstatic.com/media/5b61ba_eecadcffabbd4f349d8945a206d9c25f~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"John Arnold","Principal","Ten31","An investor with over seven years of experience analyzing businesses and evaluating transactions. His previous roles include positions at Goldman Sachs, Citadel, and Crestline.","","https://static.wixstatic.com/media/5b61ba_821d297caa7d4fe8b47ee56b8b754b47~mv2.jpg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Andrew Bailey","Associate Professor of Philosophy / Senior Fellow","Yale-NUS College / Bitcoin Policy Institute","A Professor and founding faculty member at Yale-NUS College, where he teaches in the humanities and social sciences. He is also a Senior Fellow at the Bitcoin Policy Institute and regularly advises journalists and policymakers on the societal implications of Bitcoin and digital assets. In August 2025, he will join the University of Wyoming as a Professor of Philosophy at the newly established Bitcoin Research Institute.","","https://static.wixstatic.com/media/dea30a_a3314831f2db4d7490633dfd90c7449d~mv2.jpeg","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
"Ken Egan","Director of Government Affairs","Bitcoin Policy Institute","Director of Government Affairs at the Bitcoin Policy Institute and formerly served as Head of Operations at BlockTrace, a blockchain analytics and cyber intelligence firm supporting government clients. Before entering the private sector, he spent over 20 years in federal service, including roles at the CIA and Department of State, with a focus on Middle East and East Asia operations. He retired in 2022 as Deputy Chief of Operations at the CIA's Center for Cyber Intelligence.","","https://static.wixstatic.com/media/5b61ba_8c9ed9c9519d422388f963764ce3642b~mv2.png","","",2025,"Bitcoin Policy Summit 2025","https://www.btcpolicysummit.org/2025-speakers"
