name,title,company,bio,country,talk_title,photo_url,social_links,event,event_year,source_url
Alain Kunz,"MD, Head of Business Development",GSR,"Alain Kunz is a Managing Director at GSR, where he leads Business Development for the firm - a global leader in digital asset trading and market structure, and a key capital markets partner to the crypto industry. Prior to joining GSR, Mr. Kunz founded several ventures in the financial services and digital asset sectors. He has also advised public and private institutions, political leaders, and high-net-worth individuals, focusing on the intersection of innovation, finance, technology, and societal impact. Mr. Kunz began his career at UBS Investment Bank after graduating from the University of St. Gallen (HSG). His career reflects a consistent commitment to bridging traditional finance and emerging technologies in an increasingly digital economy.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691f6d742752443e303c5ce8_iTcRfTNndzdPdoNTBbLLh2vc_WfBpEl88WicijKhTLE.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alan Lane,Advisor,Unchained,Former CEO of Silvergate Bank. Silvergate began banking the bitcoin industry in 2014.,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68eea66ebf8c5d21bce9cb3e_5MAWk4yVjJ6xjTlLckj7yujxd2YbQc5pzjZZ1-I5pX0.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alejandro de la Torre,CEO & Co-Founder,DMND,Former VP & Co-Founder of BTC.com & Poolin bitcoin mining pools. Activated Taproot via miner-activated-softfork. 10 + years in bitcoin mining. Currently CEO & Co-Founder of DMND the first fully StratumV2 Bitcoin Mining Pool.,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c929debfe8592c795207_XKMdp2PeEn3CFmu2a-iaMMJqJCmJS_qSEhxiz-zpGgc.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Aleksandar Svetski,How Bitcoin Reaches Mass Adoption in 60 Years,Satlantis,"Alex Svetski is an Author and Entrepreneur. Aleksandar is the Author of the best selling “UnCommunist Manifesto” and the ""Bushido of Bitcoin”. He is building the Nostr-enabled Social Network for Sovereign Individuals: Satlantis.io Previously, he launched the world’s first Bitcoin-only savings app: Amber, and open sourced The Spirit of Satoshi, a Bitcoin-centric LLM.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae228f7_M_BJj5lV41k3h_dgG9NCXKwjEkS81VJkK0iiQmt0gcM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alex Bodromian,Chief Operating Officer,LuminX,"Alex is a seasoned professional in the financial services industry with a proven track record in business development, client relationship management, and strategic planning. His expertise lies in driving growth and delivering exceptional value to clients.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69a8454ad57c15bd297ef_SsfnNt4sqPLWtYaVTxOY4Rhspylemsh167rsY2MW5js.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alex Recouso,Co-founder & CEO,CitizenX,"Alex Recouso is the co-founder and CEO of CitizenX, the world's first citizenship market. CitizenX has assisted countless Bitcoiners and their families in diversifying their passport portfolios, providing greater optionality, sovereignty, and freedom. He also advises nation-states on designing and implementing citizenship and residency programs to accumulate Bitcoin in budget-neutral ways.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68eea6996b6d1481cef4e8df_B_YgvVtEDxDW76zbekn9QptEVfbwzt_m9kkzJ2ZdgNk.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alexander Neumüller,Research Associate,"Cambridge Judge Business School, Univeristy of Cambridge","Alexander is a Research Associate at the Cambridge Centre for Alternative Finance (CCAF), where he leads the Cambridge Digital Assets Programme’s research efforts on the climate impact of digital assets. Drawing on extensive practical experience within the crypto ecosystem – from cryptocurrency mining to engaging with DeFi protocols – he brings deep domain expertise to his work. Prior to joining the CCAF, Alexander held various roles in traditional finance, including corporate banking, proprietary trading, and asset management. He holds a Master’s degree in Finance from Cambridge Judge Business School, University of Cambridge, and an MBA from Johannes Kepler Universität Linz. Alexander is widely regarded as an expert on the environmental footprint of cryptocurrency mining, and his insights are frequently featured in leading media outlets such as Bloomberg, Fox News, Reuters, and The Financial Times.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68c96892900a15228a1d7077_d663dd272d5b69b991b90f1a.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alexander Sayegh,Co-Founder & CTO,Mining Grid,"An early advocate for Blockchain technology and Bitcoin specifically, focusing on spreading the knowledge, sharing expertise and providing technical consulting, I've made Bitcoin and Blockchain my career for a good reason, I have a lot to contribute to it, the skill to teach people about it and the technical depth of advising on strategy, technology and integration with rest of the world. With my deep technical foundation and a strong belief in Bitcoin’s transformative potential, I focus on building scalable mining and cloud solutions that empower individuals and enterprises alike.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68ffaa481eac3cef80db52e1__lYz8WaJEDNMExAD6joQLEGi-qC0v5r-h-2AN8Y_yfM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Alexandre Laizet,Board Director of Bitcoin Strategy,Capital B,"Alexandre is Board Member and Director of Bitcoin Strategy at Capital B, Europe’s first Bitcoin Treasury Company. Alexandre is a committed Bitcoin maximalist.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/692a5fc8dacb2be474726207_b69706f6f52ddc63a810536b.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Ali Alnuaimi,Founder,Shafra,"Ali Alnuaimi founded Shafra and stands at the crossroads of energy, technology, and digital assets in the UAE. Once a nuclear engineer who launched the nation's first reactor and sat on the UAE Space Agency board, he left the public sector to advance Bitcoin as a strategic energy play. Today he counsels government leaders, sovereign wealth funds, and giants such as MARA on Bitcoin policy, energy efficiency, and industrial-scale mining. A founding adviser to the Sui protocol and partner to several others, he channels deep expertise and wide connections to unite government, legacy industries, and emerging AI-driven tech, securing lasting value through intellectual, political, and financial capital.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691c8398212add11b5e2d63d_nJrpQRH_AkWQBpTvAYye1iOCt6nrhr_UdTzo96g7uCw.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Allen Helm,Director of Business Development,"BTC Inc, Bitcoin for Corporations","Allen Helm co-founded Bitcoin for Corporations (BFC) in 2024, a joint initiative between Strategy (formerly MicroStrategy) and BTC Inc., where he now serves as Director of Business Development & Client Services. He leads product execution, client success, and business development, working with corporate treasuries, service providers, and capital allocators to accelerate global Bitcoin adoption. Previously, he scaled enterprise partnerships at Bitcoin Magazine and The Bitcoin Conference.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/690e05dbcef52f00403b35ba_PHOMrfxlw2wqqf-ojQaMaYK01xyTGZVVbfs7ZZbyGME.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Andrej Majcen,Group CEO & Co-Founder,Bitcoin Suisse AG,"Andrej Majcen is the Co-Founder and Group Chief Executive Officer of Bitcoin Suisse, Switzerland’s leading and longest-established crypto-financial services firm. He co-founded the company in 2013, when Bitcoin was still nascent and Ethereum had yet to launch, and has since guided its growth into a major international brand—Switzerland’s largest custodian and one of the world’s foremost staking operators. Over the past decade, Andrej has held several senior leadership roles at Bitcoin Suisse, including Head of Global Expansion and Strategic Clients, before being appointed Group CEO in 2024. In recognition of his contributions to the blockchain and fintech industry, he was named to the Forbes 30 Under 30 DACH list in 2020. A frequent speaker at blockchain and finance conferences around the world, Andrej is a strong advocate for the transformative potential of digital assets to build a more inclusive, efficient, and resilient global economy.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6900fed802842471d227f6a3_835b9326ae343811144de631.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Andrew Hohns,CEO,Battery Finance,"Andrew Hohns, PhD., Founder & Chief Executive Officer. Dr. Hohns founded Newmarket in 2020 and Battery Finance in 2022. He has overseen transaction structuring for approximately $50 billion of notional risk transfer. He has been a regular speaker at various industry conferences, with expertise in topics related to securitization, bitcoin, socially responsible investment, impact investment, infrastructure, and development finance. Prior to founding Newmarket, Dr. Hohns served as Managing Director at Mariner Investment Group from 2012 through 2020 and as Managing Director at Cohen & Company until 2012. Additionally, Dr. Hohns was an Adjunct Assistant Professor at New York University’s Stern School of Business from 2012 to 2015. He holds a BS in Economics from the Wharton School at the University of Pennsylvania (2000), a Masters in Liberal Arts from the School of Arts and Sciences at the University of Pennsylvania (2006), and a PhD in Applied Economics and Managerial Sciences from the Wharton School at the University of Pennsylvania (2012). Dr. Hohns is a member of the Board of Directors of Fold Holdings Group (NASDAQ:FLD), Bitcoin Development Corporation, Inc (NASDAQ: BDCIU), and UNICEF USA.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c8ea98b6b62f77c370f2_FY72ds5-juFGNygsfERidExtasYywH5ZTtKTLB4vLDM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Andrew Vranjes,Chief Revenue Officer,Blockdaemon,"Andrew is driving Blockdaemon’s global growth strategy as Chief Revenue Officer (CRO). In this role, he is responsible for driving and aligning all revenue generating processes across the organization. Previously, Andrew was VP and GM at APAC, where he has successfully led regional growth, forged strategic partnerships, and expanded market presence in the Asia Pacific Region. Prior to joining Blockdaemon, Andrew has held leadership roles in Amazon Web Services (AWS), Cisco Systems and Singtel/Optus. In AWS, Andrew built out the teams focussed on Startups, Digital Natives, Crypto/Fintech and AWS’s partnerships with the Venture Capital and Private Equity community. In Cisco, Andrew led sales and Business Development for several acquisitions and internally built software solutions, most notably the GTM in APAC for an acquisition, tail-f systems. In Optus Business, Andrew led and owned the P&L for the Data Centre and Cloud Practice.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6911fdde8f909637df331e0e_20mDmpOMnOh3xkbDVFZzOs0eUq01cFw7yn9WnwvzFYI.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Anish Shivdasani,Head of Digital Assets,Roland Berger,"Dr Anish Shivdasani is Head of Digital Assets at Roland Berger, where he has advised exchanges, banks, bitcoin mines and sovereign wealth funds on a range of strategic matters",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69a9325834804b3e0608d_ywQcxTRkj5LivLrStQoL9OqqQw6gPJSiBRxt7HS9iVs.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Anthony Bassili,President,Coinbase Asset Management,"Anthony Bassili, CAIA is President of Coinbase Asset Management. In this role, he is responsible for driving the firm's strategic vision, global distribution, and the development of transformative Web3 investment products. Prior to joining CBAM, Mr. Bassili was head of Asset Allocators and Tokenization for Coinbase Institutional, where he spearheaded the adoption of crypto exposure across the global allocator community, launched Coinbase’ strategy for tokenized products, and more. Prior to joining Coinbase, Mr. Bassili was Head of Pensions at BlackRock iShares where he spent more than a decade. Anthony brings more than 15 years of deep relationships with global financial institutions, advising on investment solutions related to digital asset exposure and traditional markets with Family Offices, RIAs, Endowments & Foundations, Consultants, Pensions, and Sovereign Wealth Funds globally. He also supports his clients with access to market leading web3 strategies and advises firms on tokenization of traditional asset classes and industries. He advises Web3.0 startups and is an active early stage investor. Mr. Bassili is a contributor to digital asset education with the AIF Institute Center for Financial Innovation, the Global Interdependence Center (GIC), and the Chartered Alternative Investment Management Association (CAIA). Connect with on socials: LinkedIn: https://www.linkedin.com/in/abassili/ X : https://x.com/SmartestBeta",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/693514d7133b8c8124137c8b_7c7bde3d3c8131ca560653a5.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Areeb Ahmad,Senior Associate,TLP Advisors,"Areeb Ahmad tells the story of Bitcoin through the lens of law, power, and technology. Based in Dubai, he advises crypto exchanges and fintechs on licensing and compliance, while questioning how institutions, AI, and tokenization are rewriting the rules of money itself.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6914acc711d81744b9e23ab7_BlfQ9UvoG88kLibJLMi29s32HH-Zh-TbEpTyNhBpLOw.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Arsh Molu,Operations Lead,Human Rights Foundation,"Arsh Molu champions financial freedom at the Human Rights Foundation, an organization dedicated to defending human rights in authoritarian regimes. Arsh is also the Co-founder of Generation Bitcoin and the Bitcoin Students Network, worldwide communities that support younger generations in learning about Bitcoin, cultivating the next generation of Bitcoin leaders.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae2290a_iVm-CJkt7RmKSKqoihR20sI_QbEOzKhl4kAAZoKPGXQ.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Austin Alexander,Partner,10X Capital,"Austin Alexander discovered Bitcoin in 2011 while working at an economic policy think tank in Washington D.C. in 2013 he co-founded the New York Bitcoin Center, the world's first physical Bitcoin exchange. Austin served as the industries first sales executive when he joined kraken in 2014. From 2019-2022 he served as Krakens CEO for the Middle East in the first licensed exchange in the UAE. He is now a partner at 10x Capital",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69163c7e79c3e28d2652baa8_-1FQglAd7xkNVJ1opVk7xP7cXQ5gP3G4JpDFOm4N_eo.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Benjamin de Waal,Chief Technology Officer,Musqet Limited,"Discovered Bitcoin in 2010. Stopped holding fiat in 2017. Resume includes Northern Bitcoin, Lightning Labs, Swan, and more. Currently laser-focused on Merchant Adoption at Musqet.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6908e65aa469e7d7835b9b6c_XLXjfy4p8LLbVnbwOX28Zpe5A9Z15TXwkT7o4UBT9L0.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Bilal Bin Saqib,CEO,Minister of State for Blockchain and Crypto in Pakistan,"Bilal Bin Saqib is the CEO of the Pakistan Crypto Council, a government-backed advisory body accelerating crypto regulation and driving innovation across Pakistan’s digital asset landscape. He also serves as Chief Advisor to the Finance Minister of Pakistan. Named in Forbes 30 Under 30 and honored as a Member of the British Empire by King Charles III, Bilal is a force where conviction meets code. With ventures across Web2 and Web3, and a social media following of over 700,000, he’s part builder, part crypto diplomat — using Bitcoin not just as a technology, but as a tool for economic independence and, financial inclusion. Additionally, Bilal is also an advisor to the Trump-family backed DeFi project, World Liberty Financial.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b638dc64b755698d9ae6_qsdS-KB65viPckYvQGgB_E-Mqvs8l3rRXfhKlKclFZI.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Bill Qian,Founder,Cypher Capital,"Bill Qian – Founder, Investor, & Thought Leader Bill Qian is a global investor, entrepreneur, and thought leader shaping the future of crypto, AI, and fintech. With a track record of over $30 billion in investments, he has played a key role in backing and scaling transformative technologies worldwide. Currently, Bill is the Co-Founder of Cypher Capital, a leading multi-strategy investment firm focused on blockchain and Web3. Previously, Bill was the Global Head of M&A and Binance Labs at Binance, where he managed the world's largest crypto investment portfolio at the time—$25 billion. Prior to that, he led fintech and AI investments at JD.com, overseeing investments in a business that generated over $400 billion in gross merchandise volume (GMV). Beyond investing, Bill is a passionate advocate for the convergence of AI, blockchain, and digital finance. He shares insights through his podcast, “Where AI Meets Crypto, Technology Meets Humanity, and East Meets West,” featuring top industry voices on emerging trends.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6920ad6a77208e786f90fb3e_YRzCSiYweZKGMXTFv5ulKgTecXBcP3iIkKVEsCUrdvE.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Billy Boone,Director of Market Research,Simple Mining,Market Research at Simple Mining. Founder of The Bitcoin Mining Investor Letter.,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691d2b692ef36fc4fdccc766_0a12eeb3fe689895288fcc94.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Björn Schmidtke,CEO,Aurelion,"Björn Schmidtke — CEO, Aurelion Björn Schmidtke is the Chief Executive Officer of Aurelion, NASDAQ’s first Tether Gold (XAU₮) treasury. He oversees the company’s strategic direction and operational execution, guiding Aurelion’s efforts to integrate gold-backed reserves with the transparency and efficiency enabled by blockchain technology. Before joining Aurelion, Björn served as Chairman and Co-Founder of a clean-energy Bitcoin mining company operating in South America. Earlier in his career, he worked at McKinsey & Company and has been deeply involved in the global Bitcoin mining ecosystem. With extensive experience across digital assets, mining, and real-world-asset infrastructure, Björn brings a strong industry background and community presence to support Aurelion’s continued growth and engagement with users worldwide. https://www.aurelion.com",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/693077faafe11be35cc9bc32_caMtiCgatWIIq3E4D9WyhDSqt4Ykv0CVTgBtPAEyW6U.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Borja Martel Seward,Co-Founder & CEO,Roxom,Building Bitcoin's Wall Street,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68f1511fc1b8c54b78b4b475_iRv1iMGsyiukT6Sijn61dGTd9UFCfS0-yEQ_NHSGSkM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Brandon Green,CEO,BTC Inc,"Brandon is CEO of BTC Inc. Since joining the Company in 2017, Green has been a core member of BTC Inc, holding a variety of leadership roles including Managing Director, Chief of Staff, and Head of Events. During his tenure, he has helped drive the global expansion of the Bitcoin Conference franchise beyond the United States to Amsterdam, Hong Kong, and Abu Dhabi.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691e1280b042276097b785ce_bXYbqJ6tPtYHXXLjRx3vpKvHiDZz4AUnP4u0HAgKRKs.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Brian Dixon,CEO,Off the Chain Capital,"Brian is the CEO of Off the Chain Capital, which is a Warren Buffet value-style investment firm focused on acquiring blockchain assets at a discount. He is the author of four books covering Bitcoin and advanced technology. He entered the Bitcoin space in 2012 and has traveled the world educating people on the importance of the technology and asset.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c8f5debeb5d0904d61b2_Zrd18ezLkqOc7Fytrgj31JeZ1q2syDVd-Sp4s2sZFvQ.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Bruce Fenton,CEO,Chainstone Labs,"Bruce is CEO of the investment holding company Chainstone Labs. Bruce has been full time in Bitcoin since 2013 when he was Executive Director of the Bitcoin Foundation. He has over 30 years financial and investing experience and owns Atlantic Financial, a Registered Investment Advisor. Fenton is a liberty and free market advocate and ran for US Senate for New Hampshire in 2022. Fenton is the host of the Satoshi Roundtable, now in its 12th year, an annual event bringing together leading Founders, CEOs, and developers in the fintech and Bitcoin ecosystem.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69a91e189cd2254549fa8__6na6voHfDiqe6smXQ7s7f7BrF-FpTFD3E1f9IpuFg0.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Carl Moon,CEO & Founder,The Moon Group,"Carl Runefelt is a prominent Bitcoin maximalist and entrepreneur who through his media presence, investments, and leadership in the crypto space - Promotes widespread Bitcoin adoption while encouraging others to adopt a long-term, conviction in Bitcoin as the foundation of the new financial era.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6900c3dc4c952e8b9ad8d9d0_ca8c61e5006154eb5e53891a.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Carlos Estrada,CEO & Founder,Coin Vigilante,"Carlos Estrada is a Bitcoin entrepreneur and the founder of Coin Vigilante, a company creating limited-edition Bitcoin-inspired timepieces that embody scarcity, precision, and proof-of-work. He is also the founder of Vigilante Media, a full-service marketing agency helping brands grow through storytelling, creative strategy, and digital innovation. In addition, Carlos leads Venture Watches, a B2B watch manufacturing company that provides end-to-end design and production solutions for brands and organizations worldwide. His work connects the worlds of Bitcoin, craftsmanship, and entrepreneurship—driven by a belief in sound money, creativity, and building lasting value.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68f921e6241b6b69e7c17ce8_f493850c132d15cbad340023.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
