name,tier_category,website_url,profile_url,logo_url,description,year,notes
Startup Portugal,"Politics, government & international trade",,https://websummit.com/appearances/lis25/3a54d79c-41d7-4607-8812-2d9d4140d61d/startup-portugal,,,2025,
Startup Qatar,"Politics, government & international trade",,https://websummit.com/appearances/lis25/d4e4a6b4-913f-4033-942a-90746e0c7e2b/startup-qatar,,,2025,
ApexBrasil,"Politics, government & international trade",,https://websummit.com/appearances/lis25/f46ccde6-7c70-464e-bb04-dc20378d58b9/apexbrasil,,,2025,
European Commission DG Competition,"Politics, government & international trade",,https://websummit.com/appearances/lis25/c60aec27-def9-4396-b34d-465060db2994/european-commission-dg-competition,,,2025,
German Park,"Politics, government & international trade",,https://websummit.com/appearances/lis25/9c8d101b-309b-4b0f-a37c-c02a3614aaaa/german-park,,,2025,
Zhongguancun Chico Information Technology and Service Alliance,Charities & NGOs,,https://websummit.com/appearances/lis25/d2206626-723c-45cf-886b-7871ae248f32/zhongguancun-chico-information-technology-and-service-alliance,,,2025,
Pluralsight,SaaS,,https://websummit.com/appearances/lis25/9e51c5cb-e9c6-41e7-b0a2-9d1b38606acd/pluralsight,,,2025,
Roland Berger,Legal & professional services,,https://websummit.com/appearances/lis25/bcd0e1a8-5159-4120-bdc8-936b84776369/roland-berger,,,2025,
PitchBook,Venture capital & private equity,,https://websummit.com/appearances/lis25/ba44f04b-f187-44fb-a660-486b46a597b3/pitchbook,,,2025,
JCDecaux,"Advertising, content & marketing",,https://websummit.com/appearances/lis25/3059b94b-fb8a-4d8e-858f-8e6a781bd357/jcdecaux,,,2025,
Unitree Robotics,"Hardware, robotics & IoT",,https://websummit.com/appearances/lis25/9c50b458-44db-474a-856b-0615c3c18096/unitree-robotics,,,2025,
VOIS (Vodafone Intelligent Solutions),Telecommunications & IT,,https://websummit.com/appearances/lis25/180f17d2-3715-4337-b036-098f5c2e2e86/vois-vodafone-intelligent-solutions,,,2025,
Grant Thornton Advisors LLC,Legal & professional services,,https://websummit.com/appearances/lis25/0bc8d7c5-a4ee-47da-8af2-d4954e5f98f5/grant-thornton-advisors-llc,,,2025,
Horizons,HR & recruitment,,https://websummit.com/appearances/lis25/875366f2-3196-488d-8ba5-68a29b920e3f/horizons,,,2025,
Globant,AI & machine learning,,https://websummit.com/appearances/lis25/f1067fa6-9d48-4d39-ac65-2fc37bbd9458/globant,,,2025,
Epidemic Sound,Entertainment & media,,https://websummit.com/appearances/lis25/461c8a6a-e035-4842-84fe-c8fc5e632d03/epidemic-sound,,,2025,
Foundever,Telecommunications & IT,,https://websummit.com/appearances/lis25/f8178d4d-36f8-4dcf-8749-a815d637174a/foundever,,,2025,
ManageEngine,SaaS,,https://websummit.com/appearances/lis25/f2e6c3c7-19d0-40c0-b8ea-b6705e484f98/manageengine,,,2025,
Concentrix,Telecommunications & IT,,https://websummit.com/appearances/lis25/0261a6db-6e2a-4e99-a23a-338d3a087ece/concentrix,,,2025,
Itaú Unibanco S.A.,Fintech & financial services,,https://websummit.com/appearances/lis25/9642343e-b083-4953-8366-44b050a21bfe/itau-unibanco-s.a.,,,2025,
Qatar Insurance,Fintech & financial services,,https://websummit.com/appearances/lis25/cecf8be0-6815-4c3f-98d2-0a284c176b57/qatar-insurance,,,2025,
Ookla,Telecommunications & IT,,https://websummit.com/appearances/lis25/f051d20f-4854-4862-bd33-e4af36dfc2fc/ookla,,,2025,
Toptal,AI & machine learning,,https://websummit.com/appearances/lis25/a5a98d99-98de-48a8-a945-25d0b601c439/toptal,,,2025,
Contentful,SaaS,,https://websummit.com/appearances/lis25/a17a6da8-381e-42e9-840e-db61bf92316f/contentful,,,2025,
Remote,HR & recruitment,,https://websummit.com/appearances/lis25/dc813b64-c774-4b88-80a1-0811375dac9d/remote,,,2025,
UN Global Compact Network Portugal,Charities & NGOs,,https://websummit.com/appearances/lis25/dd502cc3-b9e6-4806-8164-81d76dc19f9b/un-global-compact-network-portugal,,,2025,
Médecins Sans Frontières (MSF) / Doctors Without Borders,Charities & NGOs,,https://websummit.com/appearances/lis25/97a1e298-86c2-47fb-8bd2-d61be58e0cef/medecins-sans-frontieres-msf-doctors-without-borders,,,2025,
SendPulse,SaaS,,https://websummit.com/appearances/lis25/0ae42971-d707-4c93-867b-b1c46544f151/sendpulse,,,2025,
Artificial Superintelligence (ASI) Alliance,AI & machine learning,,https://websummit.com/appearances/lis25/2bb4dcac-6691-4918-b3b3-0ed474ccf48e/artificial-superintelligence-asi-alliance,,,2025,
Chamber of Commerce and Industry of Serbia,"Politics, government & international trade",,https://websummit.com/appearances/lis25/f32348ea-f0d9-4ea6-b83f-7dda690aabe1/chamber-of-commerce-and-industry-of-serbia,,,2025,
